Banks,ROE,ROA,COD,COBR,ROAD,ROI,OPAST,INTINTOT,OTHINTOT,COMINTOT,NIITAST,SPRD,STEXTEX,PRVTAST,INTRMTAST,NETNPA,CRAR,BUSEMP,PFTEMP,
IOB7,18.34928199,0.582953829,7.747485571,17.85690118,13.75818949,10.56379811,0.722017623,90.65611721,9.34388279,5.452280745,2.383400393,4.489796177,18.92591976,0.139063794,2.730366839,7.64,10.07,83,0.36,IOB7
IOB8,16.8585596,0.527515217,7.472169665,11.9855507,11.33233392,11.14826174,0.720138315,90.55498126,9.44501874,5.22328378,2.307051646,3.775498276,20.03165528,0.192623099,2.552671083,6.26,9.34,90.79,0.4,IOB8
IOB9,7.700335763,0.226216226,7.638941626,11.7212817,10.9701387,11.14527138,0.584389975,90.16083678,9.839163222,4.920520883,2.312524372,3.410206019,21.13098792,0.358173749,2.753737808,7.3,10.15,103.78,0.2,IOB9
IOB0,13.50204516,0.366548868,9.44761922,8.047495713,14.04526476,14.25005679,1.417877353,91.7240691,8.275930897,3.150243176,3.46504084,4.693835305,18.98656698,1.051328485,3.130076387,7.65,9.15,116.87,0.14,IOB0
OBC7,19.14678273,1.559360681,7.774774857,6.840601062,14.48144286,11.24717474,2.601365478,92.29617251,7.703827488,4.896262908,3.890296754,5.176400639,13.13661972,1.042004796,2.191961093,5.64,17.53,100.3,1.3,OBC7
OBC8,19.40055611,1.420710195,7.187184255,10.62197799,11.69519544,11.22222838,2.282458356,91.32806996,8.671930043,4.510234695,3.379184338,4.278486087,14.69037115,0.861748161,2.03334532,4.84,15.28,134.8,1.5,OBC8
OBC9,18.68660859,1.225080659,7.557710482,9.664240949,12.10416283,10.80394627,2.055208316,91.51930355,8.480696446,4.010802705,3.104367339,3.890841445,13.05716466,0.830127658,1.973076346,4.5,14.1,169.7,1.6,OBC9
OBC0,19.50591996,1.135322419,7.776229323,2.863633728,10.83744931,11.82217921,2.0614917,91.73818796,8.261812042,3.569461206,2.904434015,3.606252338,10.64501215,0.926169281,1.744975862,3.8,12.72,218.2,1.9,OBC0
PNB7,17.71213373,0.678333886,7.604145506,1.695054836,13.89164459,10.91397892,1.768266773,88.62925194,11.37074806,6.024252819,3.467978704,4.803461351,20.87519244,1.089932887,3.037466183,10.38,9.15,61.95,0.35,PNB7
PNB8,28.8581159,1.200333425,7.221068879,1.32699786,12.22428545,11.44459886,2.014454244,86.2474965,13.7525035,6.053970432,3.251745601,4.61501935,22.76670936,0.814120819,2.838004898,9.6,8.81,75.65,0.72,PNB8
PNB9,19.28328851,0.803307102,6.564561626,6.143328638,11.45466532,10.64040578,1.772895539,89.09018159,10.90981841,6.576113862,3.567519369,4.488105749,25.6253426,0.969588437,2.970462318,8.96,10.79,89.58,0.57,PNB9
PNB0,17.95908453,0.754012095,7.090492743,4.388079664,11.13883617,10.93757036,1.515204501,87.62951666,12.37048334,6.48928743,2.986133311,3.948775276,23.38330606,0.761192406,2.815241688,8.52,10.31,106.48,0.63,PNB0
